step,strat,count
113,"1,2",1
113,"0,3",4
114,"3,0",0
114,"2,1",0
114,"1,2",1
114,"0,3",4
115,"3,0",0
115,"2,1",0
115,"1,2",1
115,"0,3",4
116,"3,0",0
116,"2,1",0
116,"1,2",1
116,"0,3",4
117,"3,0",0
117,"2,1",0
117,"1,2",0
117,"0,3",5
118,"3,0",0
118,"2,1",0
118,"1,2",1
118,"0,3",4
119,"3,0",0
119,"2,1",0
119,"1,2",1
119,"0,3",4
120,"3,0",0
120,"2,1",0
120,"1,2",1
120,"0,3",4
121,"3,0",0
121,"2,1",0
121,"1,2",1
121,"0,3",4
122,"3,0",0
122,"2,1",0
122,"1,2",0
122,"0,3",5
123,"3,0",0
123,"2,1",0
123,"1,2",0
123,"0,3",5
124,"3,0",0
124,"2,1",0
124,"1,2",0
124,"0,3",5
125,"3,0",0
125,"2,1",0
125,"1,2",0
125,"0,3",5
126,"3,0",0
126,"2,1",0
126,"1,2",0
126,"0,3",5
127,"3,0",0
127,"2,1",0
127,"1,2",0
127,"0,3",5
128,"3,0",0
128,"2,1",0
128,"1,2",0
128,"0,3",5
129,"3,0",0
129,"2,1",0
129,"1,2",0
129,"0,3",5
130,"3,0",0
130,"2,1",0
130,"1,2",0
130,"0,3",5
131,"3,0",0
131,"2,1",0
131,"1,2",0
131,"0,3",5
132,"3,0",0
132,"2,1",0
132,"1,2",0
132,"0,3",5
133,"3,0",0
133,"2,1",0
133,"1,2",0
133,"0,3",5
134,"3,0",0
134,"2,1",0
134,"1,2",0
134,"0,3",5
135,"3,0",0
135,"2,1",0
135,"1,2",0
135,"0,3",5
136,"3,0",0
136,"2,1",0
136,"1,2",0
136,"0,3",5
137,"3,0",0
137,"2,1",0
137,"1,2",0
137,"0,3",5
138,"3,0",0
138,"2,1",0
138,"1,2",0
138,"0,3",5
139,"3,0",0
139,"2,1",0
139,"1,2",0
139,"0,3",5
140,"3,0",0
140,"2,1",0
140,"1,2",0
140,"0,3",5
141,"3,0",0
141,"2,1",0
141,"1,2",1
141,"0,3",4
142,"3,0",0
142,"2,1",0
142,"1,2",1
142,"0,3",4
143,"3,0",0
143,"2,1",0
143,"1,2",1
143,"0,3",4
144,"3,0",0
144,"2,1",0
144,"1,2",1
144,"0,3",4
145,"3,0",0
145,"2,1",0
145,"1,2",1
145,"0,3",4
146,"3,0",0
146,"2,1",0
146,"1,2",0
146,"0,3",5
147,"3,0",0
147,"2,1",0
147,"1,2",0
147,"0,3",5
148,"3,0",0
148,"2,1",0
148,"1,2",0
148,"0,3",5
149,"3,0",0
149,"2,1",0
149,"1,2",0
149,"0,3",5
150,"3,0",0
150,"2,1",0
150,"1,2",0
150,"0,3",5
151,"3,0",0
151,"2,1",0
151,"1,2",0
151,"0,3",5
152,"3,0",0
152,"2,1",0
152,"1,2",0
152,"0,3",5
153,"3,0",0
153,"2,1",0
153,"1,2",0
153,"0,3",5
154,"3,0",0
154,"2,1",1
154,"1,2",0
154,"0,3",4
155,"3,0",0
155,"2,1",1
155,"1,2",0
155,"0,3",4
156,"3,0",1
156,"2,1",1
156,"1,2",0
156,"0,3",3
157,"3,0",1
157,"2,1",1
157,"1,2",1
157,"0,3",2
158,"3,0",0
158,"2,1",1
158,"1,2",2
158,"0,3",2
159,"3,0",0
159,"2,1",0
159,"1,2",3
159,"0,3",2
160,"3,0",0
160,"2,1",0
160,"1,2",3
160,"0,3",2
161,"3,0",0
161,"2,1",0
161,"1,2",3
161,"0,3",2
162,"3,0",0
162,"2,1",0
162,"1,2",3
162,"0,3",2
163,"3,0",0
163,"2,1",0
163,"1,2",3
163,"0,3",2
164,"3,0",0
164,"2,1",0
164,"1,2",2
164,"0,3",3
165,"3,0",0
165,"2,1",0
165,"1,2",2
165,"0,3",3
166,"3,0",0
166,"2,1",0
166,"1,2",1
166,"0,3",4
167,"3,0",0
167,"2,1",0
167,"1,2",1
167,"0,3",4
168,"3,0",0
168,"2,1",0
168,"1,2",1
168,"0,3",4
169,"3,0",0
169,"2,1",0
169,"1,2",2
169,"0,3",3
170,"3,0",0
170,"2,1",0
170,"1,2",2
170,"0,3",3
171,"3,0",0
171,"2,1",0
171,"1,2",2
171,"0,3",3
172,"3,0",0
172,"2,1",0
172,"1,2",2
172,"0,3",3
173,"3,0",0
173,"2,1",0
173,"1,2",2
173,"0,3",3
174,"3,0",0
174,"2,1",0
174,"1,2",1
174,"0,3",4
175,"3,0",0
175,"2,1",0
175,"1,2",0
175,"0,3",5
176,"3,0",0
176,"2,1",0
176,"1,2",0
176,"0,3",5
177,"3,0",0
177,"2,1",0
177,"1,2",0
177,"0,3",5
178,"3,0",0
178,"2,1",0
178,"1,2",0
178,"0,3",5
179,"3,0",0
179,"2,1",0
179,"1,2",0
179,"0,3",5
180,"3,0",0
180,"2,1",0
180,"1,2",0
180,"0,3",5
181,"3,0",0
181,"2,1",0
181,"1,2",0
181,"0,3",5
182,"3,0",0
182,"2,1",0
182,"1,2",0
182,"0,3",5
183,"3,0",0
183,"2,1",0
183,"1,2",0
183,"0,3",5
184,"3,0",0
184,"2,1",0
184,"1,2",0
184,"0,3",5
185,"3,0",0
185,"2,1",0
185,"1,2",0
185,"0,3",5
186,"3,0",0
186,"2,1",0
186,"1,2",0
186,"0,3",5
187,"3,0",0
187,"2,1",0
187,"1,2",0
187,"0,3",5
188,"3,0",0
188,"2,1",0
188,"1,2",0
188,"0,3",5
189,"3,0",0
189,"2,1",0
189,"1,2",0
189,"0,3",5
190,"3,0",0
190,"2,1",0
190,"1,2",0
190,"0,3",5
191,"3,0",0
191,"2,1",0
191,"1,2",1
191,"0,3",4
192,"3,0",0
192,"2,1",0
192,"1,2",1
192,"0,3",4
193,"3,0",0
193,"2,1",0
193,"1,2",1
193,"0,3",4
194,"3,0",0
194,"2,1",0
194,"1,2",1
194,"0,3",4
195,"3,0",0
195,"2,1",0
195,"1,2",1
195,"0,3",4
196,"3,0",0
196,"2,1",0
196,"1,2",1
196,"0,3",4
197,"3,0",0
197,"2,1",0
197,"1,2",1
197,"0,3",4
198,"3,0",0
198,"2,1",0
198,"1,2",1
198,"0,3",4
199,"3,0",0
199,"2,1",0
199,"1,2",2
199,"0,3",3
200,"3,0",0
200,"2,1",0
200,"1,2",1
200,"0,3",4
201,"3,0",0
201,"2,1",0
201,"1,2",2
201,"0,3",3
202,"3,0",0
202,"2,1",0
202,"1,2",1
202,"0,3",4
203,"3,0",0
203,"2,1",0
203,"1,2",1
203,"0,3",4
204,"3,0",0
204,"2,1",0
204,"1,2",1
204,"0,3",4
205,"3,0",0
205,"2,1",0
205,"1,2",2
205,"0,3",3
206,"3,0",0
206,"2,1",0
206,"1,2",1
206,"0,3",4
207,"3,0",0
207,"2,1",0
207,"1,2",1
207,"0,3",4
208,"3,0",0
208,"2,1",0
208,"1,2",1
208,"0,3",4
209,"3,0",0
209,"2,1",0
209,"1,2",1
209,"0,3",4
210,"3,0",0
210,"2,1",0
210,"1,2",1
210,"0,3",4
211,"3,0",0
211,"2,1",0
211,"1,2",1
211,"0,3",4
212,"3,0",0
212,"2,1",0
212,"1,2",1
212,"0,3",4
213,"3,0",0
213,"2,1",0
213,"1,2",1
213,"0,3",4
214,"3,0",0
214,"2,1",0
214,"1,2",2
214,"0,3",3
215,"3,0",0
215,"2,1",0
215,"1,2",1
215,"0,3",4
216,"3,0",0
216,"2,1",0
216,"1,2",0
216,"0,3",5
217,"3,0",0
217,"2,1",0
217,"1,2",0
217,"0,3",5
218,"3,0",0
218,"2,1",1
218,"1,2",0
218,"0,3",4
219,"3,0",0
219,"2,1",1
219,"1,2",0
219,"0,3",4
220,"3,0",0
220,"2,1",1
220,"1,2",0
220,"0,3",4
221,"3,0",0
221,"2,1",1
221,"1,2",0
221,"0,3",4
222,"3,0",0
222,"2,1",0
222,"1,2",0
222,"0,3",5
223,"3,0",0
223,"2,1",0
223,"1,2",0
223,"0,3",5
224,"3,0",0
224,"2,1",0
224,"1,2",0
224,"0,3",5
225,"3,0",0
225,"2,1",0
225,"1,2",0
225,"0,3",5
226,"3,0",0
226,"2,1",0
226,"1,2",1
226,"0,3",4
227,"3,0",0
227,"2,1",0
227,"1,2",1
227,"0,3",4
228,"3,0",0
228,"2,1",0
228,"1,2",1
228,"0,3",4
229,"3,0",0
229,"2,1",0
229,"1,2",0
229,"0,3",5
230,"3,0",0
230,"2,1",0
230,"1,2",0
230,"0,3",5
231,"3,0",0
231,"2,1",0
231,"1,2",0
231,"0,3",5
232,"3,0",0
232,"2,1",0
232,"1,2",0
232,"0,3",5
233,"3,0",0
233,"2,1",0
233,"1,2",0
233,"0,3",5
234,"3,0",0
234,"2,1",0
234,"1,2",0
234,"0,3",5
235,"3,0",0
235,"2,1",0
235,"1,2",0
235,"0,3",5
236,"3,0",0
236,"2,1",0
236,"1,2",0
236,"0,3",5
237,"3,0",0
237,"2,1",0
237,"1,2",0
237,"0,3",5
238,"3,0",0
238,"2,1",0
238,"1,2",0
238,"0,3",5
239,"3,0",0
239,"2,1",0
239,"1,2",0
239,"0,3",5
240,"3,0",0
240,"2,1",0
240,"1,2",0
240,"0,3",5
241,"3,0",0
241,"2,1",0
241,"1,2",0
241,"0,3",5
242,"3,0",0
242,"2,1",0
242,"1,2",0
242,"0,3",5
243,"3,0",0
243,"2,1",0
243,"1,2",0
243,"0,3",5
244,"3,0",0
244,"2,1",0
244,"1,2",0
244,"0,3",5
245,"3,0",0
245,"2,1",0
245,"1,2",0
245,"0,3",5
246,"3,0",0
246,"2,1",0
246,"1,2",0
246,"0,3",5
247,"3,0",0
247,"2,1",0
247,"1,2",0
247,"0,3",5
248,"3,0",0
248,"2,1",0
248,"1,2",0
248,"0,3",5
249,"3,0",0
249,"2,1",0
249,"1,2",0
249,"0,3",5
250,"3,0",0
250,"2,1",0
250,"1,2",0
250,"0,3",5
251,"3,0",0
251,"2,1",0
251,"1,2",0
251,"0,3",5
252,"3,0",0
252,"2,1",0
252,"1,2",0
252,"0,3",5
253,"3,0",0
253,"2,1",0
253,"1,2",0
253,"0,3",5
254,"3,0",0
254,"2,1",0
254,"1,2",0
254,"0,3",5
255,"3,0",0
255,"2,1",0
255,"1,2",0
255,"0,3",5
256,"3,0",0
256,"2,1",0
256,"1,2",0
256,"0,3",5
257,"3,0",0
257,"2,1",0
257,"1,2",1
257,"0,3",4
258,"3,0",0
258,"2,1",0
258,"1,2",1
258,"0,3",4
259,"3,0",0
259,"2,1",0
259,"1,2",1
259,"0,3",4
260,"3,0",0
260,"2,1",0
260,"1,2",1
260,"0,3",4
261,"3,0",0
261,"2,1",0
261,"1,2",1
261,"0,3",4
262,"3,0",0
262,"2,1",0
262,"1,2",1
262,"0,3",4
263,"3,0",0
263,"2,1",0
263,"1,2",0
263,"0,3",5
264,"3,0",0
264,"2,1",0
264,"1,2",0
264,"0,3",5
265,"3,0",0
265,"2,1",0
265,"1,2",0
