step,strat,count
199,"3,0,0,0",1000
200,"3,0,0,0",1000
201,"3,0,0,0",1000
202,"3,0,0,0",1000
203,"3,0,0,0",1000
204,"3,0,0,0",1000
205,"3,0,0,0",1000
206,"3,0,0,0",1000
207,"3,0,0,0",1000
208,"3,0,0,0",1000
209,"3,0,0,0",1000
210,"3,0,0,0",1000
211,"3,0,0,0",1000
212,"3,0,0,0",1000
213,"3,0,0,0",1000
214,"3,0,0,0",1000
215,"3,0,0,0",1000
216,"3,0,0,0",1000
217,"3,0,0,0",1000
218,"3,0,0,0",1000
219,"3,0,0,0",1000
220,"3,0,0,0",1000
221,"3,0,0,0",1000
222,"3,0,0,0",1000
223,"3,0,0,0",1000
224,"3,0,0,0",1000
225,"3,0,0,0",1000
226,"3,0,0,0",1000
227,"3,0,0,0",1000
228,"3,0,0,0",1000
229,"3,0,0,0",1000
230,"3,0,0,0",1000
231,"3,0,0,0",1000
232,"3,0,0,0",1000
233,"3,0,0,0",1000
234,"3,0,0,0",1000
235,"3,0,0,0",1000
236,"3,0,0,0",1000
237,"3,0,0,0",1000
238,"3,0,0,0",1000
239,"3,0,0,0",1000
240,"3,0,0,0",1000
241,"3,0,0,0",1000
242,"3,0,0,0",1000
243,"3,0,0,0",1000
244,"3,0,0,0",1000
245,"3,0,0,0",1000
246,"3,0,0,0",1000
247,"3,0,0,0",1000
248,"3,0,0,0",1000
249,"3,0,0,0",1000
250,"3,0,0,0",1000
251,"3,0,0,0",999
251,"1,1,0,1",1
252,"3,0,0,0",999
252,"1,1,0,1",1
253,"3,0,0,0",999
253,"1,1,0,1",1
254,"3,0,0,0",999
254,"1,1,0,1",1
255,"3,0,0,0",999
255,"1,1,0,1",1
256,"3,0,0,0",999
256,"1,1,0,1",1
257,"3,0,0,0",999
257,"1,1,0,1",1
258,"3,0,0,0",999
258,"1,1,0,1",1
259,"3,0,0,0",999
259,"1,1,0,1",1
260,"3,0,0,0",999
260,"1,1,0,1",1
261,"3,0,0,0",999
261,"1,1,0,1",1
262,"3,0,0,0",999
262,"1,1,0,1",1
263,"3,0,0,0",999
263,"1,1,0,1",1
264,"3,0,0,0",999
264,"1,1,0,1",1
265,"3,0,0,0",999
265,"1,1,0,1",1
266,"3,0,0,0",999
266,"1,1,0,1",1
267,"3,0,0,0",999
267,"1,1,0,1",1
268,"3,0,0,0",999
268,"1,1,0,1",1
269,"3,0,0,0",999
269,"1,1,0,1",1
270,"3,0,0,0",999
270,"1,1,0,1",1
271,"3,0,0,0",999
271,"1,1,0,1",1
272,"3,0,0,0",999
272,"1,1,0,1",1
273,"3,0,0,0",999
273,"1,1,0,1",1
274,"3,0,0,0",999
274,"1,1,0,1",1
275,"3,0,0,0",999
275,"1,1,0,1",1
276,"3,0,0,0",999
276,"1,1,0,1",1
277,"3,0,0,0",999
277,"1,1,0,1",1
278,"3,0,0,0",999
278,"1,1,0,1",1
279,"3,0,0,0",999
279,"1,1,0,1",1
280,"3,0,0,0",999
280,"1,1,0,1",1
281,"3,0,0,0",999
281,"1,1,0,1",1
282,"3,0,0,0",999
282,"1,1,0,1",1
283,"3,0,0,0",999
283,"1,1,0,1",1
284,"3,0,0,0",999
284,"1,1,0,1",1
285,"3,0,0,0",999
285,"1,1,0,1",1
286,"3,0,0,0",999
286,"1,1,0,1",1
287,"3,0,0,0",999
287,"1,1,0,1",1
288,"3,0,0,0",999
288,"1,1,0,1",1
289,"3,0,0,0",999
289,"1,1,0,1",1
290,"3,0,0,0",999
290,"1,1,0,1",1
291,"3,0,0,0",999
291,"1,1,0,1",1
292,"3,0,0,0",999
292,"1,1,0,1",1
293,"3,0,0,0",999
293,"1,1,0,1",1
294,"3,0,0,0",999
294,"1,1,0,1",1
295,"3,0,0,0",999
295,"1,1,0,1",1
296,"3,0,0,0",999
296,"1,1,0,1",1
297,"3,0,0,0",999
297,"1,1,0,1",1
298,"3,0,0,0",999
298,"1,1,0,1",1
299,"3,0,0,0",999
299,"1,1,0,1",1
300,"3,0,0,0",999
300,"1,1,0,1",1
301,"3,0,0,0",999
301,"1,1,0,1",1
302,"3,0,0,0",999
302,"1,1,0,1",1
303,"3,0,0,0",999
303,"1,1,0,1",1
304,"3,0,0,0",999
304,"1,1,0,1",1
305,"3,0,0,0",999
305,"1,1,0,1",1
306,"3,0,0,0",999
306,"1,1,0,1",1
307,"3,0,0,0",999
307,"1,1,0,1",1
308,"3,0,0,0",999
308,"1,1,0,1",1
309,"3,0,0,0",999
309,"1,1,0,1",1
310,"3,0,0,0",999
310,"1,1,0,1",1
311,"3,0,0,0",999
311,"1,1,0,1",1
312,"3,0,0,0",999
312,"1,1,0,1",1
313,"3,0,0,0",999
313,"1,1,0,1",1
314,"3,0,0,0",999
314,"1,1,0,1",1
315,"3,0,0,0",999
315,"1,1,0,1",1
316,"3,0,0,0",999
316,"1,1,0,1",1
317,"3,0,0,0",999
317,"1,1,0,1",1
318,"3,0,0,0",999
318,"1,1,0,1",1
319,"3,0,0,0",999
319,"1,1,0,1",1
320,"3,0,0,0",999
320,"1,1,0,1",1
321,"3,0,0,0",999
321,"1,1,0,1",1
322,"3,0,0,0",999
322,"1,1,0,1",1
323,"3,0,0,0",999
323,"1,1,0,1",1
324,"3,0,0,0",999
324,"1,1,0,1",1
325,"3,0,0,0",999
325,"1,1,0,1",1
326,"3,0,0,0",999
326,"1,1,0,1",1
327,"3,0,0,0",999
327,"1,1,0,1",1
328,"3,0,0,0",999
328,"1,1,0,1",1
329,"3,0,0,0",999
329,"1,1,0,1",1
330,"3,0,0,0",999
330,"1,1,0,1",1
331,"3,0,0,0",999
331,"1,1,0,1",1
332,"3,0,0,0",999
332,"1,1,0,1",1
333,"3,0,0,0",999
333,"1,1,0,1",1
334,"3,0,0,0",999
334,"1,1,0,1",1
335,"3,0,0,0",999
335,"1,1,0,1",1
336,"3,0,0,0",999
336,"1,1,0,1",1
337,"3,0,0,0",999
337,"1,1,0,1",1
338,"3,0,0,0",999
338,"1,1,0,1",1
339,"3,0,0,0",999
339,"1,1,0,1",1
340,"3,0,0,0",999
340,"1,1,0,1",1
341,"3,0,0,0",999
341,"1,1,0,1",1
342,"3,0,0,0",999
342,"1,1,0,1",1
343,"3,0,0,0",999
343,"1,1,0,1",1
344,"3,0,0,0",999
344,"1,1,0,1",1
345,"3,0,0,0",999
345,"1,1,0,1",1
346,"3,0,0,0",999
346,"1,1,0,1",1
347,"3,0,0,0",999
347,"1,1,0,1",1
348,"3,0,0,0",999
348,"1,1,0,1",1
349,"3,0,0,0",999
349,"1,1,0,1",1
350,"3,0,0,0",999
350,"1,1,0,1",1
351,"3,0,0,0",999
351,"1,1,0,1",1
352,"3,0,0,0",999
352,"1,1,0,1",1
353,"3,0,0,0",999
353,"1,1,0,1",1
354,"3,0,0,0",999
354,"1,1,0,1",1
355,"3,0,0,0",999
355,"1,1,0,1",1
